e, e_dot, e_int, stamp, 
0.004387432128146435, 0.000259009542173579, 0.0008398899993751522, 32852000000, 
0.0041221147984633055, 0.0007364206715893921, 0.0008273823682397485, 32954000000, 
0.0037395481648599127, -0.0021596132109550728, 0.0008166063394313102, 33056000000, 
0.004168998898156112, 0.00015628033230935534, 0.000802044124098622, 33158000000, 
0.0038934160430144915, 0.0005128929271819294, 0.0007867975404020344, 33260000000, 
0.003520955431588202, -0.0021601448885597008, 0.0007722246915172537, 33328000000, 
0.0039283498562684704, 0.00011644604417992976, 0.0007561814220580776, 33430000000, 
0.0036950507398736676, 0.0005803176942848857, 0.000742957068515356, 33532000000, 
0.0033618941780030054, -0.0018881855942182169, 0.0007323529849430096, 33634000000, 
0.003711590630529421, 5.513296885251151e-05, 0.0007179023698937396, 33702000000, 
0.003474102204958973, 0.00037402675651989253, 0.0007031724675660933, 33804000000, 
0.0031588352023008137, -0.0018425180940953578, 0.0006896352025192805, 33906000000, 
0.0034770268671914517, 9.748874108261862e-06, 0.0006739976182967493, 34008000000, 
0.0032554080453852108, 0.0003219094769479902, 0.0006594180076584984, 34076000000, 
0.0029610575723988675, -0.0017198976493086142, 0.000646232832331702, 34178000000, 
0.003256502218262791, 3.647242925268005e-06, 0.0006315311890697912, 34280000000, 
0.0030686520800217165, 0.0003586483587428302, 0.0006190807913788917, 34382000000, 
0.0027995802786084656, -0.0015230731321810853, 0.0006083156384595316, 34484000000, 
0.0030339922026233757, -0.00011553292466113622, 0.0005934816374169039, 34552000000, 
0.0028309860447849333, 0.00010468588725489243, 0.000577637235067785, 34654000000, 
0.002568129157610982, -0.0015528768167079783, 0.0005622071603346194, 34756000000, 
0.0027608791655725495, -0.00023368959737461262, 0.000543999624531231, 34858000000, 
0.0025847249353143364, 5.531925901118099e-05, 0.0005275822172331913, 34926000000, 
0.0023607038088268584, -0.0013339178558189706, 0.000513753860647583, 35028000000, 
0.0025337407183149696, -0.00016994738999788947, 0.0004986112974970776, 35130000000, 
0.002383593194013073, 7.629795062071472e-05, 0.00048520251474366003, 35232000000, 
0.002186644604982968, -0.0011569870444400054, 0.000473598567820734, 35334000000, 
0.002321982607081746, -0.00020536862310442197, 0.0004594813604051858, 35436000000, 
